number,name,notice,count,measure,additive,allergen,cal,protein,fat,carbohydrates,salt
"28158","かぶ酢の物","4℃以下で保存して下さい。 ","","(１食当たり)","","","49.5","4.100","2.150","4.050","0.55"
"28159","ピーマンの炒め物","4℃以下で保存して下さい。 ","","(１食当たり)","","","19.9","0.785","1.009","2.232","0.49"
"28160","ピーマンお浸し（はんぺん抜き）","4℃以下で保存して下さい。 ","","(１食当たり)","","","22.3","1.982","1.021","1.436","0.05"
"28161","キャベツ入り卵","4℃以下で保存して下さい。 ","","(１食当たり)","","卵","56.7","5.0","3.24","1.89","0.12"
"28162","小松菜煮びたし","4℃以下で保存して下さい。 ","","(１食当たり)","","","22.3","1.982","1.021","1.436","0.05"
"28163","そぼろ丼（鮭）","4℃以下で保存して下さい。 ","","(１食当たり)","","","22.3","1.982","1.021","1.436","0.05"
"28164","たけのこオイスター炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","296.5","9.593","24.138","7.430","1.44"
"28165","牛肉オイスターソース炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","243.2","8.254","20.124","6.230","1.25"
"28166","鶏肉塩コショウ炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","179.8","13.193","10.271","5.657","1.05"
"28167","えびのチリソース","4℃以下で保存して下さい。 ","","(１食当たり)","","","33.4","1.778","2.160","2.296","0.06"
"28168","きんぴらごぼう","4℃以下で保存して下さい。 ","","(１食当たり)","","","18.3","1.121","0.046","3.977","0.26"
"28169","ブロッコリーツナサラダ","4℃以下で保存して下さい。 ","","(１食当たり)","","","22.3","1.982","1.021","1.436","0.05"
"28170","金胡麻ドレッシング","4℃以下で保存して下さい。 ","","(１食当たり)","","","6.9","0.203","0.000","1.435","0.48"
"28171","白菜のうま煮","4℃以下で保存して下さい。 ","","(１食当たり)","","","22.3","1.982","1.021","1.436","0.05"
"28172","もやし炒め物","4℃以下で保存して下さい。 ","","(１食当たり)","","","49.5","4.100","2.150","4.050","0.55"
"28173","お吸い物（菜の花・カニカマ）","4℃以下で保存して下さい。 ","","(１食当たり)","","","6.9","0.203","0.000","1.435","0.48"
"28174","小松菜煮物（団子なし）","4℃以下で保存して下さい。 ","","(１食当たり)","","","112.8","5.254","2.488","9.236","0.98"
"28175","しょうゆ","4℃以下で保存して下さい。 ","","(１食当たり)","保存料(アルコール)","","2.8","0.360","0.080","0.836","0.48"
"28176","カリフラワー土佐煮","4℃以下で保存して下さい。 ","","(１食当たり)","","","38.9","1.784","1.811","4.265","0.48"
